answer_id,mode,retrieval_confidence,source_count,citations,provider,model,retrieval_ms,prompt_ms,generation_ms,total_ms,status
ANSWER-001,grounded_answer,high,3,[S1],offline,offline-grounded-v1,7.422,0.566,0.094,8.085,created
ANSWER-002,grounded_answer,high,3,[S1],offline,offline-grounded-v1,5.796,0.152,0.185,6.135,created
ANSWER-003,grounded_answer,medium,3,[S1],offline,offline-grounded-v1,8.328,0.249,0.107,8.687,created
ANSWER-004,grounded_answer,high,3,[S1],offline,offline-grounded-v1,5.013,0.266,0.088,5.37,created
ANSWER-005,grounded_answer,high,3,[S1],offline,offline-grounded-v1,35.643,0.358,0.135,36.139,created
ANSWER-006,grounded_answer,medium,3,[S1],offline,offline-grounded-v1,6.025,0.298,0.138,6.463,created
ANSWER-007,grounded_answer,medium,3,[S1],offline,offline-grounded-v1,6.999,0.364,1.42,8.785,created
ANSWER-008,grounded_answer,medium,3,[S1],offline,offline-grounded-v1,6.781,0.276,0.277,7.337,created
ANSWER-009,emergency,medium,2,,offline,offline-grounded-v1,3.319,0.127,0.038,3.486,created
ANSWER-010,unsafe_medical_advice,medium,2,,offline,offline-grounded-v1,2.537,0.124,0.077,2.739,created
ANSWER-011,grounded_answer,medium,3,[S1],offline,offline-grounded-v1,8.732,0.242,0.105,9.08,created
ANSWER-012,unsafe_medical_advice,high,2,,offline,offline-grounded-v1,3.326,0.211,0.077,3.615,created
